folk,alt .  of folks,a group of people who come from the same country and share the same kind of life .  
folk,alt .  of folks,a group of people who come from the same country and share the same kind of life .  
folklore,alt .  of folk lore,the stories and ways of a group of people from a certain place or country .  such stories and traditions are handed down through the years from one generation to the next . 
folklore,alt .  of folk lore,the stories and ways of a group of people from a certain place or country .  such stories and traditions are handed down through the years from one generation to the next . 
follow,  to prosecute . ,to come or go after or behind .  
follow,  to prosecute . ,to come or go after or behind .  
follower,the part of a machine that receives motion from another part .  see driver . ,a person who believes in  .   studies  .   or supports the ideas of a teacher or other leader . 
follower,the part of a machine that receives motion from another part .  see driver . ,a person who believes in  .   studies  .   or supports the ideas of a teacher or other leader . 
following,ones followers  adherents or dependents collectively . ,a group of followers or supporters .  
following,ones followers  adherents or dependents collectively . ,a group of followers or supporters .  
folly,a foolish act ,a lack of good sense or judgment . 
folly,a foolish act ,a lack of good sense or judgment . 
fond,     followed by of  . ,having or expressing tender or loving feelings .  
fond,     followed by of  . ,having or expressing tender or loving feelings .  
fondle,  to caress ,to touch or stroke in a tender way . 
fondle,  to caress ,to touch or stroke in a tender way . 
font,  a fount . ,an open container that holds holy water for baptism . 
font,  a fount . ,a complete set of type  .   all of the same size  .   style  .   or face . 
font,  a fount . ,an open container that holds holy water for baptism . 
font,  a fount . ,a complete set of type  .   all of the same size  .   style  .   or face . 
food,  that which goes to support life by being received within  and assimilated by the organism of an animal or a plant ,anything that contains nutrients and is eaten by living creatures in order to maintain life  .   health  .   and growth . 
food,  that which goes to support life by being received within  and assimilated by the organism of an animal or a plant ,anything that contains nutrients and is eaten by living creatures in order to maintain life  .   health  .   and growth . 
fool,  a dolt . ,a person who does not have good sense or judgment .  
fool,  a dolt . ,a person who does not have good sense or judgment .  
foolish,  without judgment or discretion ,not having good sense ;  silly . 
foolish,  without judgment or discretion ,  silly . 
foolish,  without judgment or discretion ,not having good sense 
foot,     used only in the singular . ,the end part of the leg of humans and other animals  .   on which the body stands and walks .  
foot,     used only in the singular . ,the end part of the leg of humans and other animals  .   on which the body stands and walks .  
football,the game of kicking the football by opposing parties of players between goals . ,a game played in the united states and canada by two teams on a long field .  each team tries to score points by passing or carrying the ball to the other teams end of the playing area  .   or by kicking it through the goal posts .  
football,the game of kicking the football by opposing parties of players between goals . ,a game played in the united states and canada by two teams on a long field .  each team tries to score points by passing or carrying the ball to the other teams end of the playing area  .   or by kicking it through the goal posts .  
foothill,a low hill at the foot of higher hills or mountains . ,a lower hill near the base of a mountain or group of mountains . 
foothill,a low hill at the foot of higher hills or mountains . ,a lower hill near the base of a mountain or group of mountains . 
footing,ground for the foot ;  place for the foot to rest on ;  firm foundation to stand on . ,a firm base on which one can stand  .   build  .   or grow .  
footing,ground for the foot ;  place for the foot to rest on ;  firm foundation to stand on . ,a firm base on which one can stand  .   build  .   or grow .  
footnote,a note of reference or comment at the foot of a page . ,a note at the bottom of a page or the end of a chapter that explains a part of the main text . 
footnote,a note of reference or comment at the foot of a page . ,a note at the bottom of a page or the end of a chapter that explains a part of the main text . 
footprint,the impression of the foot ,a mark pressed by a foot onto a surface  .   such as a step in wet sand or a print left by a muddy shoe . 
footprint,the impression of the foot ,a mark pressed by a foot onto a surface  .   such as a step in wet sand or a print left by a muddy shoe . 
footstep,the mark or impression of the foot ,a single step with the foot  .   or the sound it makes .  
footstep,the mark or impression of the foot ,a single step with the foot  .   or the sound it makes .  
footstep,the mark or impression of the foot ,a single step with the foot  .   or the sound it makes .  
footstep,the mark or impression of the foot ,a single step with the foot  .   or the sound it makes .  
footstool,a low stool to support the feet of one when sitting . ,a low stool on which to rest the feet while seated . 
footstool,a low stool to support the feet of one when sitting . ,a low stool on which to rest the feet while seated . 
for,one who takes  or that which is said on the affrimative side ;  that which is said in favor of some one or something ;     the antithesis of against and commonly used in connection with it . ,used to show the purpose or aim of an action .  
for,one who takes  or that which is said on the affrimative side ;  that which is said in favor of some one or something ;     the antithesis of against and commonly used in connection with it . ,used to show the purpose or aim of an action .  
forage,the act of foraging ;  search for provisions  etc . ,food for animals such as horses or cattle .  
